Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
01/01/2022,24.375,24.625,26.125,25.375,25.25,23.625,17.625,16.63,19.14,23.89,27.55,34.93,36.85,89.23,79.9,51.35,25.1,25,24.25,24.625,25.125,25.25,25.25,25.875
02/01/2022,24.375,24.25,24.75,25,25,23.25,18.44,51.47,192.37,215.27,232.885,202.235,196.64,176.965,167.195,136.55,114.13,114.375,110.875,87.125,66.875,42.125,33.125,34
03/01/2022,32.75,32.75,34.25,33.375,33.875,31.5,27.5,82.43,207,243.42,244.4,221.97,237.18,218.875,203.655,156.755,125.935,99.25,91.875,67.25,34.375,30.375,35.125,33.25
04/01/2022,33.25,32.75,32.875,33.375,33.5,31.125,27.195,80.53,234.79,262.09,246.07,228.82,228.865,211.965,183.29,142.93,79.09,82.5,66.125,38.5,29.875,28.625,28.375,28
05/01/2022,27.75,28,28,28.25,30.25,26.25,21.635,73.195,215.82,247.725,240.27,224.435,194.34,184.225,166.705,146.12,120.855,107.125,80.75,45.875,28.375,25.5,26.625,25.25
06/01/2022,24.625,24.5,24.75,25.5,25.5,23.5,18.675,79.265,204.485,196.6,190.64,191.895,193.28,167.475,144.715,129.175,115.89,96.625,51.25,31,26.75,25.875,25.5,25.375
07/01/2022,25.125,25.625,25,25.375,25.375,23,17.835,19.74,70.56,135.34,173.04,193.37,193.75,163.82,78.34,27.32,22.375,24.625,24.625,25,24.75,25,26.625,24.375
08/01/2022,24.25,23.75,24.25,24.5,24.5,22.25,16.76,19.625,70.01,131.34,171.3,190.47,189.46,164.34,80.73,29.835,21.765,25.25,24.875,24.25,24.625,25.375,25,24.75
09/01/2022,24,24,24,24.625,24.625,22.5,17.74,52.86,174.51,201.1,201.57,179.62,188.54,184.6,154.47,137.075,129.12,123.375,73.5,44.375,33.375,30.125,28.375,26.5
10/01/2022,25.875,25.375,25.75,26.25,26.25,24,20.61,62.16,214.86,236.64,232.25,220.575,212.565,200.72,174.34,147.285,127.41,124.375,105,56.25,32.5,28.375,26.625,26
11/01/2022,25.75,27,25.75,26.25,26.125,23.875,19.985,48.57,200.66,233.005,229.425,204.075,199.4,185.31,166.78,147.84,130.47,138.75,82.75,38.25,27.25,28,28.25,27.25
12/01/2022,26,26.5,25.5,26.25,26,23.75,19.135,63.68,190.89,202.315,203.665,194.465,193.12,171.095,152.595,134.02,118.35,82.5,43.125,27.125,28.625,27.375,26.375,25.5
13/01/2022,25.125,25.25,25.375,25.875,26.75,23.75,18.645,65.605,203.715,232.775,225.87,221.48,204.33,191.45,172.25,152.955,100.95,56.5,47.625,37,30.5,30.5,26.5,26.125
14/01/2022,25.875,26.25,26.75,26.75,27.75,24.25,18.75,39.69,58.94,59.06,118.57,60.73,48.43,20.79,38.7,23.085,22.595,25.25,26.875,25.625,26,26.375,25.875,25.875
15/01/2022,26.75,25.5,25.375,26.25,25.75,23.5,19.405,22.085,95.17,122.79,20.88,23.395,64.175,39.96,21.61,20.84,23.95,25.5,26.75,28.875,31.625,28,25.5,27.125
16/01/2022,25.125,26.25,25.25,25.875,25.875,24.375,18,66.025,222.065,246.61,256.895,295.87,289.96,265.14,244.29,215.555,172.985,105.5,39.5,25.75,28.625,28.625,25.75,26
