time,P,G(i),H_sun,T2m,WS10m,Int
20160101:0009,0.0,0.0,0.0,9.69,5.72,0.0
20160101:0109,0.0,0.0,0.0,9.07,5.45,0.0
20160101:0209,0.0,0.0,0.0,9.12,4.83,0.0
20160101:0309,0.0,0.0,0.0,8.82,5.24,0.0
20160101:0409,0.0,0.0,0.0,8.32,5.52,0.0
20160101:0509,0.0,4.77,4.75,8.2,6.07,0.0
20160101:0609,9.11,50.53,15.23,8.12,6.14,0.0
20160101:0709,17.79,85.8,24.27,8.92,7.52,0.0
20160101:0809,22.09,102.97,31.17,9.71,7.72,0.0
20160101:0909,50.39,211.06,35.09,10.01,8.48,0.0
20160101:1009,159.16,623.01,35.4,10.2,9.31,0.0
20160101:1109,11.32,60.06,32.03,10.02,9.17,0.0
20160101:1209,188.58,734.38,25.56,9.36,8.83,0.0
20160101:1309,73.3,293.8,16.82,8.86,8.48,0.0
20160101:1409,28.76,130.55,6.53,8.15,7.72,0.0
20160101:1509,0.0,0.0,0.0,7.16,6.83,0.0
20160101:1609,0.0,0.0,0.0,6.6,6.41,0.0
20160101:1709,0.0,0.0,0.0,6.34,6.69,0.0
20160101:1809,0.0,0.0,0.0,5.78,6.55,0.0
20160101:1909,0.0,0.0,0.0,6.05,6.21,0.0
20160101:2009,0.0,0.0,0.0,5.51,6.0,0.0
20160101:2109,0.0,0.0,0.0,5.79,5.45,0.0
20160101:2209,0.0,0.0,0.0,5.56,5.38,0.0
20160101:2309,0.0,0.0,0.0,5.46,4.55,0.0
20160102:0009,0.0,0.0,0.0,5.41,3.79,0.0
20160102:0109,0.0,0.0,0.0,5.39,3.72,0.0
20160102:0209,0.0,0.0,0.0,5.04,3.24,0.0
20160102:0309,0.0,0.0,0.0,4.7,2.55,0.0
20160102:0409,0.0,0.0,0.0,4.92,2.41,0.0
20160102:0509,4.37,30.45,4.72,4.98,2.76,0.0
20160102:0609,37.35,159.89,15.22,5.77,3.59,0.0
20160102:0709,0.0,0.0,0.0,6.9,4.41,0.0
20160102:0809,54.39,224.5,31.2,7.47,4.9,0.0
20160102:0909,0.0,0.0,0.0,8.55,5.66,0.0
20160102:1009,82.95,333.5,35.5,9.23,6.0,0.0
20160102:1109,15.81,78.18,32.15,9.51,5.79,0.0
20160102:1209,28.98,129.66,25.69,9.52,5.72,0.0
20160102:1309,57.35,235.99,16.95,9.39,5.59,0.0
20160102:1409,1.11,13.35,6.66,8.96,3.72,0.0
20160102:1509,0.0,0.0,0.0,8.56,2.69,0.0
20160102:1609,0.0,0.0,0.0,8.04,2.34,0.0
20160102:1709,0.0,0.0,0.0,7.49,2.28,0.0
20160102:1809,0.0,0.0,0.0,6.85,2.62,0.0
20160102:1909,0.0,0.0,0.0,6.9,2.83,0.0
20160102:2009,0.0,0.0,0.0,6.85,2.97,0.0
20160102:2109,0.0,0.0,0.0,6.73,3.03,0.0
20160102:2209,0.0,0.0,0.0,6.41,3.03,0.0
20160102:2309,0.0,0.0,0.0,6.13,3.1,0.0
20160103:0009,0.0,0.0,0.0,5.86,3.24,0.0
20160103:0109,0.0,0.0,0.0,5.73,3.38,0.0
20160103:0209,0.0,0.0,0.0,5.67,3.45,0.0
20160103:0309,0.0,0.0,0.0,5.81,3.52,0.0
20160103:0409,0.0,0.0,0.0,6.42,3.45,0.0
20160103:0509,3.72,27.14,4.69,6.79,3.59,0.0
20160103:0609,21.9,101.64,15.21,7.6,3.93,0.0
20160103:0709,87.93,352.25,24.3,9.0,4.34,0.0
20160103:0809,59.49,246.53,31.25,10.36,5.03,0.0
20160103:0909,166.15,662.61,35.24,11.44,5.79,0.0
20160103:1009,165.98,663.28,35.6,12.18,6.14,0.0
20160103:1109,87.1,354.0,32.27,12.73,6.0,0.0
20160103:1209,45.05,193.49,25.82,13.12,5.66,0.0
20160103:1309,9.77,54.34,17.09,13.17,5.52,0.0
20160103:1409,1.57,16.21,6.8,12.86,4.55,0.0
20160103:1509,0.0,0.0,0.0,11.93,3.45,0.0
20160103:1609,0.0,0.0,0.0,11.41,3.03,0.0
20160103:1709,0.0,0.0,0.0,10.9,2.9,0.0
20160103:1809,0.0,0.0,0.0,10.87,2.69,0.0
20160103:1909,0.0,0.0,0.0,10.39,2.55,0.0
20160103:2009,0.0,0.0,0.0,10.23,2.41,0.0
20160103:2109,0.0,0.0,0.0,9.87,2.28,0.0
20160103:2209,0.0,0.0,0.0,9.48,2.14,0.0
20160103:2309,0.0,0.0,0.0,9.12,2.07,0.0
20160104:0009,0.0,0.0,0.0,8.61,1.93,0.0
